,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
18,AppWharf,Artificial Intelligence,Seed,0,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018
19,Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,7309,Chennai,Waste Management for Smart Cities,2018
20,Cogoport,Air Transportation,Series A,6000000,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018
21,PaisaDukan,Financial Services,Seed,650000,Mumbai,A P2P lending marketplace platform,2018
22,Sleepy Owl Coffee,Food and Beverage,Seed,511611,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018
23,BlueJack,Autonomous Vehicles,Seed,935518,Delhi,Delhi-based online used vehicles marketplace.,2018
24,PregBuddy,Enterprise Software,Seed,0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018
25,AgNext Technologies,Agriculture,Series A,0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018
26,Pando,Logistics,Seed,2000000,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018
27,Mintifi,Financial Services,Seed,2000000,Mumbai,Online lending startup based in Mumbai.,2018
28,Carcrew,Automotive,Seed,2000000,Mumbai,India's Online Auto Repair Marketplace,2018
29,NicheAI,Artificial Intelligence,Angel,0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018
30,Chariot Tech,Internet of Things,Seed,292349,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018
31,Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018
32,Loanzen,Financial Services,Seed,0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018
33,Mojro Technologies,Information Technology,Seed,650000,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018
34,Elemential,Blockchain,Seed,1000000,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018
35,Loadshare,Industrial Automation,Series A,5000000,Bengaluru,LoadShare is India’s fastest growing logistics company,2018
36,Yumlane,Food and Beverage,Series A,4000000,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018
37,Kriger Campus,Education,Seed,438524,New Delhi,A Education Start Up.,2018
38,Pipa+Bella,E-Commerce,Series A,1000000,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018
39,Kaleidofin,Financial Services,Seed,2800000,Chennai,A fintech platform.,2018
40,Chakr Innovation,Renewable Energy,Seed,0,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018
41,IndigoLearn,E-Learning,Seed,150000,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018
42,UClean,Clean Energy,Seed,584699,India,UClean is a tech enabled laundry service provider.,2018
43,Coutloot,E-Commerce,Seed,1000000,Mumbai,The Fashion Re-commerce platform.,2018
44,Letstrack,Apps,Seed,1700000,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018
45,Pooltoo,Transportation,Seed,0,New Delhi,Pooltoo offers a premium ride sharing platform.,2018
46,Finzy,Financial Services,Seed,1300000,Bangalore,finzy is the premier peer to peer lending solution in India.,2018
47,Fitternity,Fitness,Seed,2000000,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018
48,Keito,Artificial Intelligence,Seed,0,Pune,Building an Intelligent Digital Assistant.,2018
49,Tolet for Students,Hospitality,Seed,73087,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018
50,Chai Kings,Food and Beverage,Seed,292349,Chennai,Chai Kings is a tea retail chain,2018
51,Dainik Jagran,Media and Entertainment,Seed,584699,Kanpur,Dainik Jagran is a media and communications group.,2018
52,Playtoome,Broadcasting,Seed,292349,Bengaluru,Playtoome is a live entertainment destination,2018
53,ONGO Framework,B2B,Angel,1000000,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018
54,Notesgen,EdTech,Seed,182718,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018
55,Arogya MedTech,Health Care,Seed,219262,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018
56,Propshop24,E-Commerce,Seed,500000,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018
57,myUpchar,Health Care,Series A,5000000,New Delhi,To bring health issues to people in their language.,2018
58,MissMalini Entertainment,,Seed,1520217,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018
59,Rooter,Sports,Seed,657786,India,Rooter is a mobile-based platform,2018
60,ZestMoney,Big Data,Series A,13400000,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018
61,alphaics Corporation,Cloud Computing,Seed,0,Bengaluru,Advancing AI compute,2018
62,MyDentistChoice,Health Care,Seed,500000,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018
63,Sattviko,Food Processing,Angel,0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018
64,Sensibull,Trading Platform,Seed,365437,Bangalore,Investment Management Platform,2018
