,Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Year
984,Crysta,2018,Delhi,Healthtech,Offers diagnostic and screening services with regular counselling and clinical data management,,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli",14034000,Pre Series A,2020
985,Eupheus Learning,2017,New Delhi,Edtech,"Provides technology-led, subscription-based learning solutions to schools","Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Yuj Ventures,43000000,Series A,2020
986,Bounce,2014,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",1050000000,Series D,2020
987,Park+,0,,Techonology,It is engaged in bringing digitization in parking,Amit Lakhotia,"Sequoia Capital, Matrix Partners India",110000000,Seed,2020
988,Goodmylk,2017,Bangalore,Dairy,Provides Vegan dairy products,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest",4000000,Seed Round,2020
989,SmartKarrot,2019,,SaaS,It tracks customers’ real-time digital behaviour,"Prithwi Dasgupta, Arnab Chatterjee",Angel investors,10000000,Seed,2020
990,Skylo,2017,,IoT,Provides affordable and ever present network that connects machines or sensors,Trivedi,SoftBank Group,1030000000,Series B,2020
991,Tea Trunk,2013,Goa,Beverage,Global premium tea brand,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel investors,2200000,Seed,2020
992,Zoomcar,2013,Bangalore,Transport & Rentals,A car rental service platform,"Greg Moran, David Back",Sony Innovation Fund,300000000,Series D,2020
993,Mera Cashier,2019,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal",2500000,Seed Round,2020
994,Samya AI,2019,,SaaS,Revenue growth AI startup in the consumer packed goods (CPG) space,"Shailendra Singh, Deepinder Dhingra, Pavan Palety",Sequoia India,60000000,Seed Round,2020
995,Kristal AI,2016,,AI,Provides Algorithm-based financial services,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures,60000000,Series A,2020
996,Invento Robotics,0,,AI Robotics,Known for Mitra Series of Robots,"Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU","Windrose Capital, ITI Growth Opportunities Venture Fund",2813000,Seed Round,2020
997,Zimyo,2018,Gurugram,HR tech,Automates everyday HR processes with integrated solutions,"Kumar Mayank, Ajay Kadyan",Yatra Angel Network (YAN),0,Seed,2020
998,Sabse Sasta Dukaan,2016,Kolkata,Pharmaceutical,Online pharmacy dealing in medicines,"Anish Agarwal, Anant Jain",Angel investors,0,Seed,2020
999,Fitphilia,0,Mumbai,Healthtech,Provides IoT-enabled treadmill,Nirav Patil,Angel investors,0,Seed,2020
1000,Medicus,0,Mumbai,Healthtech,AI-based platform that explains and interprets blood tests and medical reports,"Bhavesh Shah, Manav Shah",Angel investors,127000,Seed,2020
1001,Monech,0,Mumbai,Fintech,Automated platform which will help users to take their financial decisions,,Angel investors,127000,Seed Round,2020
1002,Teach Us,0,,Edtech,Educational portal which enables the students to access information related to education at one common platform,,Angel investors,127000,Seed Round,2020
1003,Dealberg,0,Bangalore,B2B marketplace,Deals in office supplies,Abhishek Emmanuel,Undisclosed,0,Seed,2020
1004,Phenom People,2010,,HR tech,It redefines the means to search for a job and recruit top talent,Mahe Bayireddi,WestBridge Capital,300000000,Series C,2020
1005,Extra Edge,0,Pune,Edtech,Admission Marketing Automation software for the education industry,Kavita Dhillon,"Sprout Venture Partners, Indian Angel Network",7000000,Pre Series A,2020
1006,Capital Quotient,2016,Bangalore,Fintech,Investment advisor,Sousthav Chakrabarty,Undisclosed,6000000,Seed,2020
1007,Karfa,0,Delhi,Ecommerce,It sells products crafted by artisans,Kartikeya Goel,Undisclosed,250000,Seed Round,2020
1008,Gamerji,2019,,Gaming,Esports tournament platform,"Soham Thacker, Varun Gajjar",La Gajjar Group,4000000,Seed,2020
1009,Bounce,2014,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",975000000,Series D,2020
1010,Zinier,2015,Bangalore,Automation,Provides intelligent field service automation,Arka Dhar,ICONIQ Capital,900000000,Series C,2020
1011,ProEves,2016,Delhi,Preschool Daycare,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers","Divya Agarwal, Ketika Kapoor",1Crowd,5070000,Seed Round,2020
1012,Toddle,0,Bengaluru,,Collaboration and productivity platform for teachers across the world,"Deepanshu Arora, Parita Parekh",Matrix Partners India,0,Seed,2020
